{I1};Sup=503
{I2};Sup=513
{I3};Sup=501
{I4};Sup=530
{I5};Sup=488
{I6};Sup=506
{I7};Sup=524
{I8};Sup=527
{I9};Sup=535
{I10};Sup=522
{I11};Sup=533
{I12};Sup=505
{I13};Sup=500
{I14};Sup=500
{I15};Sup=514
{I16};Sup=497
{I17};Sup=538
{I18};Sup=517
{I19};Sup=490
{I20};Sup=498
{I1,I2};Sup=332
{I1,I4};Sup=338
{I1,I8};Sup=333
{I1,I11};Sup=330
{I1,I15};Sup=332
{I1,I17};Sup=339
{I2,I4};Sup=352
{I2,I5};Sup=330
{I2,I7};Sup=345
{I2,I8};Sup=346
{I2,I9};Sup=339
{I2,I10};Sup=336
{I2,I11};Sup=356
{I2,I12};Sup=335
{I2,I13};Sup=331
{I2,I14};Sup=331
{I2,I15};Sup=340
{I2,I17};Sup=353
{I2,I18};Sup=333
{I3,I4};Sup=353
{I3,I7};Sup=334
{I3,I8};Sup=335
{I3,I9};Sup=332
{I3,I11};Sup=341
{I3,I12};Sup=331
{I3,I17};Sup=340
{I3,I18};Sup=330
{I4,I5};Sup=330
{I4,I7};Sup=352
{I4,I8};Sup=356
{I4,I9};Sup=357
{I4,I10};Sup=350
{I4,I11};Sup=346
{I4,I12};Sup=347
{I4,I13};Sup=335
{I4,I14};Sup=339
{I4,I15};Sup=344
{I4,I17};Sup=354
{I4,I18};Sup=352
{I4,I20};Sup=330
{I5,I7};Sup=330
{I5,I9};Sup=332
{I5,I17};Sup=337
{I6,I7};Sup=336
{I6,I9};Sup=334
{I6,I11};Sup=330
{I6,I12};Sup=337
{I6,I15};Sup=333
{I6,I17};Sup=335
{I6,I18};Sup=331
{I7,I8};Sup=356
{I7,I9};Sup=350
{I7,I10};Sup=342
{I7,I11};Sup=355
{I7,I12};Sup=342
{I7,I13};Sup=336
{I7,I14};Sup=341
{I7,I15};Sup=350
{I7,I16};Sup=332
{I7,I17};Sup=350
{I7,I18};Sup=358
{I7,I19};Sup=331
{I8,I9};Sup=340
{I8,I10};Sup=344
{I8,I11};Sup=349
{I8,I12};Sup=340
{I8,I13};Sup=340
{I8,I14};Sup=341
{I8,I15};Sup=340
{I8,I17};Sup=362
{I8,I18};Sup=352
{I8,I20};Sup=338
{I9,I10};Sup=343
{I9,I11};Sup=363
{I9,I13};Sup=330
{I9,I14};Sup=337
{I9,I15};Sup=344
{I9,I17};Sup=366
{I9,I18};Sup=354
{I10,I11};Sup=350
{I10,I13};Sup=332
{I10,I15};Sup=333
{I10,I17};Sup=349
{I10,I18};Sup=333
{I11,I12};Sup=340
{I11,I13};Sup=337
{I11,I14};Sup=343
{I11,I15};Sup=344
{I11,I16};Sup=338
{I11,I17};Sup=353
{I11,I18};Sup=343
{I11,I19};Sup=345
{I12,I13};Sup=331
{I12,I17};Sup=334
{I12,I18};Sup=333
{I13,I15};Sup=333
{I13,I18};Sup=334
{I14,I17};Sup=340
{I15,I17};Sup=337
{I15,I18};Sup=336
{I16,I17};Sup=333
{I17,I18};Sup=362
{I18,I20};Sup=333
